ubigeo,distrito,departamen,poblacion,ipress_per_10k,atenciones_per_10k,dist_mediana_km,pct_ccpp_10km,indice_baseline,quintil_baseline,etiqueta_baseline,indice_alternativo,quintil_alternativo,etiqueta_alternativo,cambio_quintil,cambio_abs
250101,CALLERIA,UCAYALI,159364.0,4.518,9108.2051,24.654,14.86,0.5364,4,High,0.5991,4,High,0.0,0.0
250105,YARINACOCHA,UCAYALI,101126.0,2.7688,2621.9765,12.482,37.97,0.5469,4,High,0.556,4,High,0.0,0.0
220204,HUALLAGA,SAN MARTIN,3118.0,6.4144,0.0,11.189,31.94,0.4844,3,Medium,0.4778,3,Medium,0.0,0.0
061004,GREGORIO PITA,CAJAMARCA,6666.0,7.5008,30.003,3.19,100.0,0.7402,5,Very high,0.7411,5,Very high,0.0,0.0
130704,PACASMAYO,LA LIBERTAD,28458.0,1.4056,18309.7899,2.165,100.0,0.654,5,Very high,0.6428,5,Very high,0.0,0.0
130803,CHILLIA,LA LIBERTAD,14060.0,3.5562,0.0,21.58,0.0,0.3347,1,Very low,0.2756,1,Very low,0.0,0.0
040407,HUANCARQUI,AREQUIPA,1288.0,7.764,0.0,3.709,82.76,0.6049,4,High,0.5604,4,High,0.0,0.0
060109,MAGDALENA,CAJAMARCA,9689.0,4.1284,4.1284,8.105,77.86,0.5802,4,High,0.5898,4,High,0.0,0.0
061202,SAN BERNARDINO,CAJAMARCA,4830.0,6.2112,0.0,5.728,100.0,0.5372,4,High,0.573,4,High,0.0,0.0
131004,MOLLEBAMBA,LA LIBERTAD,2411.0,8.2953,0.0,37.213,0.0,0.3901,2,Low,0.3963,2,Low,0.0,0.0
020401,CHACAS,ANCASH,5619.0,1.7797,1156.7895,2.993,100.0,0.6129,4,High,0.6118,4,High,0.0,0.0
060607,QUEROCOTILLO,CAJAMARCA,17001.0,13.5286,122.3457,9.288,58.56,0.7588,5,Very high,0.7611,5,Very high,0.0,0.0
130101,TRUJILLO,LA LIBERTAD,329127.0,8.082,7761.5935,1.517,100.0,0.8259,5,Very high,0.8077,5,Very high,0.0,0.0
021908,RAGASH,ANCASH,2613.0,7.654,0.0,7.395,83.05,0.5499,4,High,0.5578,4,High,0.0,0.0
130811,SANTIAGO DE CHALLAS,LA LIBERTAD,2520.0,7.9365,0.0,8.614,57.5,0.5442,4,High,0.5407,4,High,0.0,0.0
021511,TAUCA,ANCASH,3170.0,6.3091,0.0,41.853,0.0,0.3311,1,Very low,0.3503,1,Very low,0.0,0.0
040205,NICOLAS DE PIEROLA,AREQUIPA,6387.0,4.697,0.0,16.743,33.33,0.3975,2,Low,0.433,2,Low,0.0,0.0
250107,MANANTAY,UCAYALI,83040.0,1.9268,0.0,11.505,42.86,0.3576,1,Very low,0.3638,1,Very low,0.0,0.0
021906,HUAYLLABAMBA,ANCASH,3982.0,7.5339,0.0,8.256,91.07,0.5412,4,High,0.5691,4,High,0.0,0.0
100702,CHOLON,HUANUCO,10428.0,4.7948,0.0,38.463,0.0,0.2993,1,Very low,0.3093,1,Very low,0.0,0.0
021903,ALFONSO UGARTE,ANCASH,762.0,13.1234,93031.4961,3.284,100.0,0.8904,5,Very high,0.8927,5,Very high,0.0,0.0
020515,TICLLOS,ANCASH,1291.0,7.7459,0.0,11.321,31.43,0.5159,3,Medium,0.5091,3,Medium,0.0,0.0
020510,HUAYLLACAYAN,ANCASH,1076.0,18.5874,0.0,11.622,21.88,0.6301,4,High,0.6169,4,High,0.0,0.0
100207,SAN RAFAEL,HUANUCO,12278.0,8.1446,0.0,27.907,0.0,0.4223,2,Low,0.3945,2,Low,0.0,0.0
